instance,algo,param_set,seed,HV,IGD,time,evals
M,NSGA2,2,7,14433.468526503337,0.9780274649024192,25.034502029418945,48000
M,NSGA2,2,8,66948.62373483718,0.1282269630894311,24.901483058929443,48000
M,NSGA2,2,9,16124.34056720513,0.9276436859503668,25.002952814102173,48000
M,NSGA2,2,10,43357.21746208883,0.558450147405145,25.033095836639404,48000
M,NSGA2,2,11,35263.105945118696,0.6419089533720052,25.881397485733032,48000
M,NSGA2,2,12,31090.0008677572,0.6978906222085269,26.849425315856934,48000
M,NSGA2,2,13,20981.241545780995,0.8546451717636658,26.18847870826721,48000
M,NSGA2,2,14,75699.1468018496,0.0307737695956474,26.059495210647583,48000
M,NSGA2,2,15,17912.572426249302,0.9014029868136558,27.160860300064087,48000
M,NSGA2,2,16,50394.66260651327,0.4509988088253063,25.841556787490845,48000
M,NSGA2,2,17,68307.27704961256,0.17670236583202,25.970055103302,48000
M,NSGA2,2,18,21681.54108857164,0.8522488478479333,25.93368148803711,48000
M,NSGA2,2,19,19395.98181558379,0.948230043815576,25.76941442489624,48000
M,NSGA2,2,20,32441.18226579629,0.6887172266601432,26.839454174041748,48000
M,NSGA2,3,1,47758.90524984194,0.446994810841614,35.71527028083801,50000
M,NSGA2,3,2,23171.369093210444,0.8269627025968815,35.002525329589844,50000
M,NSGA2,3,3,61394.68553948637,0.3286900854650587,34.69000172615051,50000
M,NSGA2,3,4,57425.84318861826,0.3254485660583442,34.521257400512695,50000
M,NSGA2,3,5,81455.525296868,0.036723448861304,34.8364155292511,50000
M,NSGA2,3,6,58687.03893421282,0.3161211964864973,35.02455830574036,50000
M,NSGA2,3,7,48440.76646336052,0.5129249974530241,34.967501163482666,50000
M,NSGA2,3,8,58625.67907059361,0.4003172409513023,34.25061225891113,50000
M,NSGA2,3,9,59275.747515785166,0.3649537398551872,34.001842975616455,50000
M,NSGA2,3,10,17831.912231226655,1.05021897430862,36.05451202392578,50000
M,NSGA2,3,11,45523.67904989961,0.6236977210102844,34.38619136810303,50000
M,NSGA2,3,12,45684.88443414769,0.56887221638283,34.4927282333374,50000
M,NSGA2,3,13,63770.04013234018,0.2885710913454368,34.93874645233154,50000
M,NSGA2,3,14,48837.66834329628,0.5719727839374888,34.18355417251587,50000
M,NSGA2,3,15,76157.72364616199,0.0930026232532011,33.67220401763916,50000
M,NSGA2,3,16,60253.62507782251,0.2005973531025193,34.385295152664185,50000
M,NSGA2,3,17,57435.74338007475,0.3315322296988744,34.28574848175049,50000
M,NSGA2,3,18,61045.858683119855,0.2575149335681089,34.23980140686035,50000
