instance,algo,param_set,seed,HV,IGD,time,evals
S,NSGA2,3,7,51682.005490046286,,19.54848885536194,
S,NSGA2,3,8,46662.609535771924,,21.122902631759644,
S,NSGA2,3,9,42019.07717318264,,20.936875581741333,
S,NSGA2,3,10,38730.439663968486,,21.19586157798767,
S,NSGA2,3,11,34783.998418354066,,19.610690116882324,
S,NSGA2,3,12,48170.54034118002,,19.598355293273926,
S,NSGA2,3,13,64531.08205345587,,19.585440397262573,
S,NSGA2,3,14,47321.564320325706,,19.52073049545288,
S,NSGA2,3,15,45723.92266909071,,19.63299822807312,
S,NSGA2,3,16,45956.677971348974,,19.595250129699707,
S,NSGA2,3,17,43652.59237459403,,19.59641456604004,
S,NSGA2,3,18,43642.6231834459,,19.65652585029602,
S,NSGA2,3,19,47052.72461848412,,19.584814071655273,
S,NSGA2,3,20,37788.01342522262,,19.58425521850586,
S,SPEA2,1,1,22223.871614892858,,9.664503574371338,
S,SPEA2,1,2,37109.22185766063,,9.627447366714478,
S,SPEA2,1,3,29859.761280094674,,9.645931482315063,
S,SPEA2,1,4,19066.67859733817,,9.651021957397461,
S,SPEA2,1,5,10189.307322152325,,11.06892442703247,
S,SPEA2,1,6,34547.71739168586,,10.530493021011353,
S,SPEA2,1,7,18353.39122871652,,10.586490631103516,
S,SPEA2,1,8,37233.633397828504,,10.496659994125366,
S,SPEA2,1,9,41126.986516231445,,10.465455293655396,
S,SPEA2,1,10,37183.67802804855,,11.240073919296265,
S,SPEA2,1,11,31029.3872439273,,10.562782526016235,
S,SPEA2,1,12,26625.83557543599,,65.37024664878845,
S,SPEA2,1,13,27883.120142847834,,10.000800848007202,
S,SPEA2,1,14,41812.97335500849,,9.835519790649414,
S,SPEA2,1,15,34813.518267031795,,10.010432720184326,
S,SPEA2,1,16,23302.34845068109,,9.852562189102173,
S,SPEA2,1,17,29921.02273502595,,9.789442539215088,
S,SPEA2,1,18,29965.93346855461,,9.728238582611084,
S,SPEA2,1,19,16356.993762090598,,9.686477422714233,
S,SPEA2,1,20,33721.780773826446,,9.732983350753784,
S,SPEA2,2,1,43586.017214839485,,9.357890844345093,
S,SPEA2,2,2,45511.03726888025,,9.285927295684814,
S,SPEA2,2,3,36942.372912075596,,9.253759860992432,
S,SPEA2,2,4,29363.33006467385,,9.278306722640991,
S,SPEA2,2,5,48128.108177736,,9.286128044128418,
S,SPEA2,2,6,68855.66877958641,,9.285028457641602,
S,SPEA2,2,7,31980.68110532888,,9.334863662719727,
S,SPEA2,2,8,18155.324615373684,,9.29155683517456,
S,SPEA2,2,9,41333.12127345548,,9.262996196746826,
S,SPEA2,2,10,38473.92358351484,,9.269836187362671,
S,SPEA2,2,11,25773.73122579567,,9.261367797851562,
S,SPEA2,2,12,41041.01628440894,,9.287781953811646,
S,SPEA2,2,13,37719.61951412164,,9.312166452407837,
S,SPEA2,2,14,38954.069125045506,,9.280970335006714,
S,SPEA2,2,15,40401.24561753166,,9.327693939208984,
S,SPEA2,2,16,43328.17322479028,,9.267781257629395,
S,SPEA2,2,17,38016.47512812543,,9.330732345581055,
S,SPEA2,2,18,41530.54502510562,,9.26562237739563,
S,SPEA2,2,19,37463.44338875111,,10.073310375213623,
S,SPEA2,2,20,30499.0450373417,,10.022030591964722,
S,SPEA2,3,1,50595.17721757281,,11.769429206848145,
S,SPEA2,3,2,45295.70026010557,,11.721580505371094,
S,SPEA2,3,3,45925.637367696574,,11.85543441772461,
S,SPEA2,3,4,45294.180589643634,,12.197385787963867,
S,SPEA2,3,5,36212.05837788943,,12.705556154251099,
S,SPEA2,3,6,34604.768691471996,,11.382815837860107,
S,SPEA2,3,7,41413.830068380186,,10.8582124710083,
S,SPEA2,3,8,42955.08260423201,,10.895159006118774,
S,SPEA2,3,9,45153.42279707225,,10.84385895729065,
S,SPEA2,3,10,44690.44355874576,,10.886739253997803,
S,SPEA2,3,11,32640.7701793055,,10.843522548675537,
S,SPEA2,3,12,46366.72218818297,,10.82328486442566,
S,SPEA2,3,13,38001.55002677067,,10.8184654712677,
S,SPEA2,3,14,32543.566904602394,,10.869594097137451,
S,SPEA2,3,15,35898.7010269754,,10.885567903518677,
S,SPEA2,3,16,46569.319609556995,,10.8010733127594,
S,SPEA2,3,17,57482.56429316647,,10.899149894714355,
S,SPEA2,3,18,40209.08525414183,,10.843698024749756,
